
[[toc]]

=Sorted by language=

||~ Language ||~ ||~ translated ||~ ||~ total ||~ ||~ percentage ||
|| [[Arabic.lng|Arabic]]                                                 || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Belarusian.lng|Belarusian]]                                         || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Bosanski.lng|Bosanski]]                                             || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Bulgarian.lng|Bulgarian]]                                           || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Burmese (Padauk).lng|Burmese (Padauk)]]                             || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Catalan.lng|Catalan]]                                               || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Chinese (Simplified).lng|Chinese (Simplified)]]                     || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Chinese (Traditional).lng|Chinese (Traditional)]]                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Croatian.lng|Croatian]]                                             || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Czech.lng|Czech]]                                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Danish.lng|Danish]]                                                 || ||=  61 || ||=  79 || ||>    77 % ||
|| [[Dutch.lng|Dutch]]                                                   || ||=  61 || ||=  79 || ||>    77 % ||
|| [[English (GB).lng|English (GB)]]                                     || ||=  11 || ||=  79 || ||>    13 % ||
|| [[English (US).lng|English (US)]]                                     || ||=   0 || ||=  79 || ||>     0 % ||
|| [[Estonian.lng|Estonian]]                                             || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Farsi.lng|Farsi]]                                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Filipino (Tagalog).lng|Filipino (Tagalog)]]                         || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Finnish.lng|Finnish]]                                               || ||=  64 || ||=  79 || ||>    81 % ||
|| [[French (FR).lng|French (FR)]]                                       || ||=  61 || ||=  79 || ||>    77 % ||
|| [[Galician.lng|Galician]]                                             || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Georgian.lng|Georgian]]                                             || ||=  64 || ||=  79 || ||>    81 % ||
|| [[German.lng|German]]                                                 || ||=  78 || ||=  79 || ||>    98 % ||
|| [[Greek.lng|Greek]]                                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Hebrew.lng|Hebrew]]                                                 || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Hindi.lng|Hindi]]                                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Hungarian.lng|Hungarian]]                                           || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Icelandic.lng|Icelandic]]                                           || ||=  59 || ||=  79 || ||>    74 % ||
|| [[Iloko.lng|Iloko]]                                                   || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Indonesian (Bahasa Indonesia).lng|Indonesian (Bahasa Indonesia)]]   || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Indonesian.lng|Indonesian]]                                         || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Italian.lng|Italian]]                                               || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Japanese.lng|Japanese]]                                             || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Javanese.lng|Javanese]]                                             || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Kapampangan.lng|Kapampangan]]                                       || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Korean.lng|Korean]]                                                 || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Latin.lng|Latin]]                                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Latvian.lng|Latvian]]                                               || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Macedonian.lng|Macedonian]]                                         || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Norwegian.lng|Norwegian]]                                           || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Polish.lng|Polish]]                                                 || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Portuguese (BR).lng|Portuguese (BR)]]                               || ||=  61 || ||=  79 || ||>    77 % ||
|| [[Portuguese.lng|Portuguese]]                                         || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Romanian.lng|Romanian]]                                             || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Russian.lng|Russian]]                                               || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Serbian.lng|Serbian]]                                               || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Slovak.lng|Slovak]]                                                 || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Slovenian.lng|Slovenian]]                                           || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Spanish (AR).lng|Spanish (AR)]]                                     || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Spanish (ES).lng|Spanish (ES)]]                                     || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Spanish (MEX).lng|Spanish (MEX)]]                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Swedish.lng|Swedish]]                                               || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Tamil.lng|Tamil]]                                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Thai.lng|Thai]]                                                     || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Turkish.lng|Turkish]]                                               || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Ukrainian.lng|Ukrainian]]                                           || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Vietnamese (VI).lng|Vietnamese (VI)]]                               || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Waray-Waray.lng|Waray-Waray]]                                       || ||=  61 || ||=  79 || ||>    77 % ||
|| [[Yiddish.lng|Yiddish]]                                               || ||=  65 || ||=  79 || ||>    82 % ||

[[toc]]

=Sorted by percent completed=

||~ Language ||~ ||~ translated ||~ ||~ total ||~ ||~ percentage ||
|| [[German.lng|German]]                                                 || ||=  78 || ||=  79 || ||>    98 % ||
|| [[Ukrainian.lng|Ukrainian]]                                           || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Belarusian.lng|Belarusian]]                                         || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Yiddish.lng|Yiddish]]                                               || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Korean.lng|Korean]]                                                 || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Macedonian.lng|Macedonian]]                                         || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Hebrew.lng|Hebrew]]                                                 || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Russian.lng|Russian]]                                               || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Bulgarian.lng|Bulgarian]]                                           || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Serbian.lng|Serbian]]                                               || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Slovenian.lng|Slovenian]]                                           || ||=  65 || ||=  79 || ||>    82 % ||
|| [[Italian.lng|Italian]]                                               || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Slovak.lng|Slovak]]                                                 || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Burmese (Padauk).lng|Burmese (Padauk)]]                             || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Spanish (MEX).lng|Spanish (MEX)]]                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Chinese (Simplified).lng|Chinese (Simplified)]]                     || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Swedish.lng|Swedish]]                                               || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Chinese (Traditional).lng|Chinese (Traditional)]]                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Czech.lng|Czech]]                                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Farsi.lng|Farsi]]                                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Tamil.lng|Tamil]]                                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Finnish.lng|Finnish]]                                               || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Latin.lng|Latin]]                                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Thai.lng|Thai]]                                                     || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Galician.lng|Galician]]                                             || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Georgian.lng|Georgian]]                                             || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Japanese.lng|Japanese]]                                             || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Turkish.lng|Turkish]]                                               || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Vietnamese (VI).lng|Vietnamese (VI)]]                               || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Arabic.lng|Arabic]]                                                 || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Greek.lng|Greek]]                                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Portuguese.lng|Portuguese]]                                         || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Hungarian.lng|Hungarian]]                                           || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Hindi.lng|Hindi]]                                                   || ||=  64 || ||=  79 || ||>    81 % ||
|| [[Spanish (ES).lng|Spanish (ES)]]                                     || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Iloko.lng|Iloko]]                                                   || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Indonesian.lng|Indonesian]]                                         || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Romanian.lng|Romanian]]                                             || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Estonian.lng|Estonian]]                                             || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Norwegian.lng|Norwegian]]                                           || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Latvian.lng|Latvian]]                                               || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Filipino (Tagalog).lng|Filipino (Tagalog)]]                         || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Polish.lng|Polish]]                                                 || ||=  63 || ||=  79 || ||>    79 % ||
|| [[Indonesian (Bahasa Indonesia).lng|Indonesian (Bahasa Indonesia)]]   || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Bosanski.lng|Bosanski]]                                             || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Catalan.lng|Catalan]]                                               || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Javanese.lng|Javanese]]                                             || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Kapampangan.lng|Kapampangan]]                                       || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Spanish (AR).lng|Spanish (AR)]]                                     || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Croatian.lng|Croatian]]                                             || ||=  62 || ||=  79 || ||>    78 % ||
|| [[Danish.lng|Danish]]                                                 || ||=  61 || ||=  79 || ||>    77 % ||
|| [[Dutch.lng|Dutch]]                                                   || ||=  61 || ||=  79 || ||>    77 % ||
|| [[French (FR).lng|French (FR)]]                                       || ||=  61 || ||=  79 || ||>    77 % ||
|| [[Waray-Waray.lng|Waray-Waray]]                                       || ||=  61 || ||=  79 || ||>    77 % ||
