
[[toc]]

=Sorted by language=

||~ Language ||~ ||~ translated ||~ ||~ total ||~ ||~ percentage ||
|| [[Arabic.lng|Arabic]]                                                 || ||=  76 || ||=  84 || ||>    90 % ||
|| [[Belarusian.lng|Belarusian]]                                         || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Bosanski.lng|Bosanski]]                                             || ||=  62 || ||=  84 || ||>    73 % ||
|| [[Bulgarian.lng|Bulgarian]]                                           || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Burmese (Padauk).lng|Burmese (Padauk)]]                             || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Catalan.lng|Catalan]]                                               || ||=  62 || ||=  84 || ||>    73 % ||
|| [[Chinese (Simplified).lng|Chinese (Simplified)]]                     || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Chinese (Traditional).lng|Chinese (Traditional)]]                   || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Croatian.lng|Croatian]]                                             || ||=  62 || ||=  84 || ||>    73 % ||
|| [[Czech.lng|Czech]]                                                   || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Danish.lng|Danish]]                                                 || ||=  61 || ||=  84 || ||>    72 % ||
|| [[Dutch.lng|Dutch]]                                                   || ||=  61 || ||=  84 || ||>    72 % ||
|| [[English (GB).lng|English (GB)]]                                     || ||=  11 || ||=  84 || ||>    13 % ||
|| [[English (US).lng|English (US)]]                                     || ||=   0 || ||=  84 || ||>     0 % ||
|| [[Estonian.lng|Estonian]]                                             || ||=  77 || ||=  84 || ||>    91 % ||
|| [[Farsi.lng|Farsi]]                                                   || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Filipino (Tagalog).lng|Filipino (Tagalog)]]                         || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Finnish.lng|Finnish]]                                               || ||=  64 || ||=  84 || ||>    76 % ||
|| [[French (FR).lng|French (FR)]]                                       || ||=  68 || ||=  84 || ||>    80 % ||
|| [[Galician.lng|Galician]]                                             || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Georgian.lng|Georgian]]                                             || ||=  64 || ||=  84 || ||>    76 % ||
|| [[German.lng|German]]                                                 || ||=  82 || ||=  84 || ||>    97 % ||
|| [[Greek.lng|Greek]]                                                   || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Hebrew.lng|Hebrew]]                                                 || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Hindi.lng|Hindi]]                                                   || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Hungarian.lng|Hungarian]]                                           || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Icelandic.lng|Icelandic]]                                           || ||=  72 || ||=  84 || ||>    85 % ||
|| [[Iloko.lng|Iloko]]                                                   || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Indonesian (Bahasa Indonesia).lng|Indonesian (Bahasa Indonesia)]]   || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Indonesian.lng|Indonesian]]                                         || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Italian.lng|Italian]]                                               || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Japanese.lng|Japanese]]                                             || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Javanese.lng|Javanese]]                                             || ||=  62 || ||=  84 || ||>    73 % ||
|| [[Kapampangan.lng|Kapampangan]]                                       || ||=  62 || ||=  84 || ||>    73 % ||
|| [[Korean.lng|Korean]]                                                 || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Latin.lng|Latin]]                                                   || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Latvian.lng|Latvian]]                                               || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Macedonian.lng|Macedonian]]                                         || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Norwegian.lng|Norwegian]]                                           || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Polish.lng|Polish]]                                                 || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Portuguese (BR).lng|Portuguese (BR)]]                               || ||=  61 || ||=  84 || ||>    72 % ||
|| [[Portuguese.lng|Portuguese]]                                         || ||=  78 || ||=  84 || ||>    92 % ||
